GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Median,Margin of Error
0100000US,,United States,0100000US,,United States,United States,50007,45
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,40052,285
0100000US,,United States,0500000US01001,01001,United States - Alabama - Autauga County,Autauga County,48052,3335
0100000US,,United States,0500000US01003,01003,United States - Alabama - Baldwin County,Baldwin County,46251,1934
0100000US,,United States,0500000US01005,01005,United States - Alabama - Barbour County,Barbour County,32071,2105
0100000US,,United States,0500000US01007,01007,United States - Alabama - Bibb County,Bibb County,38302,4057
0100000US,,United States,0500000US01009,01009,United States - Alabama - Blount County,Blount County,44665,2936
0100000US,,United States,0500000US01013,01013,United States - Alabama - Butler County,Butler County,31829,3083
0100000US,,United States,0500000US01015,01015,United States - Alabama - Calhoun County,Calhoun County,37736,1818
0100000US,,United States,0500000US01017,01017,United States - Alabama - Chambers County,Chambers County,33570,3449
0100000US,,United States,0500000US01019,01019,United States - Alabama - Cherokee County,Cherokee County,37549,4259
0100000US,,United States,0500000US01021,01021,United States - Alabama - Chilton County,Chilton County,37023,3828
0100000US,,United States,0500000US01025,01025,United States - Alabama - Clarke County,Clarke County,26273,1956
0100000US,,United States,0500000US01031,01031,United States - Alabama - Coffee County,Coffee County,40040,2870
0100000US,,United States,0500000US01033,01033,United States - Alabama - Colbert County,Colbert County,37090,1758
0100000US,,United States,0500000US01039,01039,United States - Alabama - Covington County,Covington County,32367,2680
0100000US,,United States,0500000US01043,01043,United States - Alabama - Cullman County,Cullman County,37189,1645
0100000US,,United States,0500000US01045,01045,United States - Alabama - Dale County,Dale County,40865,1983
0100000US,,United States,0500000US01047,01047,United States - Alabama - Dallas County,Dallas County,26486,1742
0100000US,,United States,0500000US01049,01049,United States - Alabama - DeKalb County,DeKalb County,31717,1742
0100000US,,United States,0500000US01051,01051,United States - Alabama - Elmore County,Elmore County,50675,2850
0100000US,,United States,0500000US01053,01053,United States - Alabama - Escambia County,Escambia County,33990,2808
0100000US,,United States,0500000US01055,01055,United States - Alabama - Etowah County,Etowah County,34207,1253
0100000US,,United States,0500000US01059,01059,United States - Alabama - Franklin County,Franklin County,30149,2434
0100000US,,United States,0500000US01061,01061,United States - Alabama - Geneva County,Geneva County,32304,3107
0100000US,,United States,0500000US01069,01069,United States - Alabama - Houston County,Houston County,39837,1435
0100000US,,United States,0500000US01071,01071,United States - Alabama - Jackson County,Jackson County,34907,3073
0100000US,,United States,0500000US01073,01073,United States - Alabama - Jefferson County,Jefferson County,44283,877
0100000US,,United States,0500000US01077,01077,United States - Alabama - Lauderdale County,Lauderdale County,36515,1763
0100000US,,United States,0500000US01079,01079,United States - Alabama - Lawrence County,Lawrence County,43017,3259
0100000US,,United States,0500000US01081,01081,United States - Alabama - Lee County,Lee County,38849,2007
0100000US,,United States,0500000US01083,01083,United States - Alabama - Limestone County,Limestone County,43979,1741
0100000US,,United States,0500000US01087,01087,United States - Alabama - Macon County,Macon County,26670,2107
0100000US,,United States,0500000US01089,01089,United States - Alabama - Madison County,Madison County,53001,1081
0100000US,,United States,0500000US01091,01091,United States - Alabama - Marengo County,Marengo County,29852,4076
0100000US,,United States,0500000US01093,01093,United States - Alabama - Marion County,Marion County,32149,3142
0100000US,,United States,0500000US01095,01095,United States - Alabama - Marshall County,Marshall County,35754,1458
0100000US,,United States,0500000US01097,01097,United States - Alabama - Mobile County,Mobile County,38596,922
0100000US,,United States,0500000US01099,01099,United States - Alabama - Monroe County,Monroe County,28802,2940
0100000US,,United States,0500000US01101,01101,United States - Alabama - Montgomery County,Montgomery County,41973,1414
0100000US,,United States,0500000US01103,01103,United States - Alabama - Morgan County,Morgan County,41990,1809
0100000US,,United States,0500000US01109,01109,United States - Alabama - Pike County,Pike County,24849,2393
0100000US,,United States,0500000US01111,01111,United States - Alabama - Randolph County,Randolph County,34908,4826
0100000US,,United States,0500000US01113,01113,United States - Alabama - Russell County,Russell County,31256,2170
0100000US,,United States,0500000US01115,01115,United States - Alabama - St. Clair County,St. Clair County,50453,2800
0100000US,,United States,0500000US01117,01117,United States - Alabama - Shelby County,Shelby County,66966,2010
0100000US,,United States,0500000US01121,01121,United States - Alabama - Talladega County,Talladega County,35751,1836
0100000US,,United States,0500000US01123,01123,United States - Alabama - Tallapoosa County,Tallapoosa County,35256,2836
0100000US,,United States,0500000US01125,01125,United States - Alabama - Tuscaloosa County,Tuscaloosa County,38740,1818
0100000US,,United States,0500000US01127,01127,United States - Alabama - Walker County,Walker County,35751,2426
0100000US,,United States,0500000US01133,01133,United States - Alabama - Winston County,Winston County,29182,4640
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,61766,936
0100000US,,United States,0500000US02020,02020,United States - Alaska - Anchorage Municipality,Anchorage Municipality,66244,1488
0100000US,,United States,0500000US02090,02090,United States - Alaska - Fairbanks North Star Borough,Fairbanks North Star Borough,63044,3163
