GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0100000US,,United States,United States,53889,110
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,43623,281
0100000US,,United States,0500000US01001,01001,United States - Alabama - Autauga County,Autauga County,51281,2391
0100000US,,United States,0500000US01003,01003,United States - Alabama - Baldwin County,Baldwin County,50254,1263
0100000US,,United States,0500000US01005,01005,United States - Alabama - Barbour County,Barbour County,32964,2973
0100000US,,United States,0500000US01007,01007,United States - Alabama - Bibb County,Bibb County,38678,3995
0100000US,,United States,0500000US01009,01009,United States - Alabama - Blount County,Blount County,45813,3141
0100000US,,United States,0500000US01011,01011,United States - Alabama - Bullock County,Bullock County,31938,5884
0100000US,,United States,0500000US01013,01013,United States - Alabama - Butler County,Butler County,32229,1793
0100000US,,United States,0500000US01015,01015,United States - Alabama - Calhoun County,Calhoun County,41703,925
0100000US,,United States,0500000US01017,01017,United States - Alabama - Chambers County,Chambers County,34177,2949
0100000US,,United States,0500000US01019,01019,United States - Alabama - Cherokee County,Cherokee County,36296,1710
0100000US,,United States,0500000US01021,01021,United States - Alabama - Chilton County,Chilton County,41627,2025
0100000US,,United States,0500000US01023,01023,United States - Alabama - Choctaw County,Choctaw County,33536,2231
0100000US,,United States,0500000US01025,01025,United States - Alabama - Clarke County,Clarke County,32011,3088
0100000US,,United States,0500000US01027,01027,United States - Alabama - Clay County,Clay County,35327,4517
0100000US,,United States,0500000US01029,01029,United States - Alabama - Cleburne County,Cleburne County,38056,3883
0100000US,,United States,0500000US01031,01031,United States - Alabama - Coffee County,Coffee County,46729,2066
0100000US,,United States,0500000US01033,01033,United States - Alabama - Colbert County,Colbert County,40576,2536
0100000US,,United States,0500000US01035,01035,United States - Alabama - Conecuh County,Conecuh County,24900,3001
0100000US,,United States,0500000US01037,01037,United States - Alabama - Coosa County,Coosa County,31212,2971
0100000US,,United States,0500000US01039,01039,United States - Alabama - Covington County,Covington County,36444,1673
0100000US,,United States,0500000US01041,01041,United States - Alabama - Crenshaw County,Crenshaw County,36022,3041
0100000US,,United States,0500000US01043,01043,United States - Alabama - Cullman County,Cullman County,38971,1526
0100000US,,United States,0500000US01045,01045,United States - Alabama - Dale County,Dale County,45028,2413
0100000US,,United States,0500000US01047,01047,United States - Alabama - Dallas County,Dallas County,27306,2075
0100000US,,United States,0500000US01049,01049,United States - Alabama - DeKalb County,DeKalb County,38192,1360
0100000US,,United States,0500000US01051,01051,United States - Alabama - Elmore County,Elmore County,53555,1980
0100000US,,United States,0500000US01053,01053,United States - Alabama - Escambia County,Escambia County,32330,2209
0100000US,,United States,0500000US01055,01055,United States - Alabama - Etowah County,Etowah County,39220,1976
0100000US,,United States,0500000US01057,01057,United States - Alabama - Fayette County,Fayette County,34680,2112
0100000US,,United States,0500000US01059,01059,United States - Alabama - Franklin County,Franklin County,35372,2437
0100000US,,United States,0500000US01061,01061,United States - Alabama - Geneva County,Geneva County,36024,2022
0100000US,,United States,0500000US01063,01063,United States - Alabama - Greene County,Greene County,20541,2413
0100000US,,United States,0500000US01065,01065,United States - Alabama - Hale County,Hale County,32714,2373
0100000US,,United States,0500000US01067,01067,United States - Alabama - Henry County,Henry County,41997,3220
0100000US,,United States,0500000US01069,01069,United States - Alabama - Houston County,Houston County,41571,863
0100000US,,United States,0500000US01071,01071,United States - Alabama - Jackson County,Jackson County,37745,1399
0100000US,,United States,0500000US01073,01073,United States - Alabama - Jefferson County,Jefferson County,45610,910
0100000US,,United States,0500000US01075,01075,United States - Alabama - Lamar County,Lamar County,35450,2018
0100000US,,United States,0500000US01077,01077,United States - Alabama - Lauderdale County,Lauderdale County,43125,1602
0100000US,,United States,0500000US01079,01079,United States - Alabama - Lawrence County,Lawrence County,40003,2651
