Year,Lowest,Second,Third,Fourth,Top 5%
1967,3000,5850,8303,11840,19000
1968,3323,6300,9030,12688,19850
1969,3575,6860,9921,13900,21800
1970,3688,7065,10276,14661,23175
1971,3800,7244,10660,15200,24138
1972,4050,7800,11528,16500,26555
1973,4397,8455,12510,18012,28950
1974,4860,9015,13321,19333,30600
1975,5000,9384,14180,20360,32129
1976,5405,10070,15340,22070,35000
1977,5734,10800,16462,24000,38000
1978,6318,11946,18075,26288,42055
1979,7000,13000,20001,29000,46860
1980,7478,14024,21500,31480,50661
1981,8024,15000,23200,34300,55200
1982,8400,15976,24410,36400,60086
1983,8949,16640,25539,38596,63500
1984,9500,17780,27393,41380,68500
1985,9941,18704,28975,43578,72004
1986,10247,19600,30419,45982,77106
1987,10800,20500,32000,48363,80928
1988,11382,21500,33506,50593,85640
1989,12096,23000,35350,53710,91750
1990,12500,23662,36200,55205,94748
1991,12591,24000,37070,56759,96400
1992,12600,24140,37900,58007,99020
1993,12967,24679,38793,60300,104639
1994,13426,25200,40100,62841,109821
1995,14400,26914,42002,65124,113000
1996,14768,27760,44006,68015,119540
1997,15400,29200,46000,71500,126550
1998,16116,30408,48337,75000,132199
1999,17136,31920,50384,79232,142000
2000,17920,33000,52174,81766,145220
2001,17970,33314,53000,83500,150499
2002,17916,33377,53162,84016,150002
2003,17984,34000,54453,86867,154120
2004,18486,34675,55230,88002,157152
2005,19178,36000,57660,91705,166000
2006,20035,37774,60000,97032,174012
2007,20291,39100,62000,100000,177000
2008,20712,39000,62725,100240,180000
2009,20453,38550,61801,100000,180001
2010,20000,38000,61500,100029,180485
2011,20262,38520,62434,101582,186000
2012,20599,39764,64582,104096,191156
2013,21000,41035,67200,110232,205128
2014,21432,41186,68212,112262,206568
2015,22800,43511,72001,117002,214462
