year.id,year.display-label,hisp.id,hisp.display-label,GEO.id,GEO.id2,GEO.display-label,wac_sex0_age999,bac_sex0_age999,iac_sex0_age999,aac_sex0_age999,nac_sex0_age999,wac_sex0_age0to17,bac_sex0_age0to17,iac_sex0_age0to17,aac_sex0_age0to17,nac_sex0_age0to17,wac_sex0_age18to64,bac_sex0_age18to64,iac_sex0_age18to64,aac_sex0_age18to64,nac_sex0_age18to64,wac_sex0_age65plus,bac_sex0_age65plus,iac_sex0_age65plus,aac_sex0_age65plus,nac_sex0_age65plus
Id,Year,Id,Hispanic Origin,Id,Id2,Geography,Race Alone or in Combination [1] - White; Both Sexes; Total,Race Alone or in Combination [1] - Black or African American; Both Sexes; Total,Race Alone or in Combination [1] - American Indian and Alaska Native; Both Sexes; Total,Race Alone or in Combination [1] - Asian; Both Sexes; Total,Race Alone or in Combination [1] - Native Hawaiian and Other Pacific Islander; Both Sexes; Total,Race Alone or in Combination [1] - White; Both Sexes; Under 18 years,Race Alone or in Combination [1] - Black or African American; Both Sexes; Under 18 years,Race Alone or in Combination [1] - American Indian and Alaska Native; Both Sexes; Under 18 years,Race Alone or in Combination [1] - Asian; Both Sexes; Under 18 years,Race Alone or in Combination [1] - Native Hawaiian and Other Pacific Islander; Both Sexes; Under 18 years,Race Alone or in Combination [1] - White; Both Sexes; 18 to 64 years,Race Alone or in Combination [1] - Black or African American; Both Sexes; 18 to 64 years,Race Alone or in Combination [1] - American Indian and Alaska Native; Both Sexes; 18 to 64 years,Race Alone or in Combination [1] - Asian; Both Sexes; 18 to 64 years,Race Alone or in Combination [1] - Native Hawaiian and Other Pacific Islander; Both Sexes; 18 to 64 years,Race Alone or in Combination [1] - White; Both Sexes; 65 years and over,Race Alone or in Combination [1] - Black or African American; Both Sexes; 65 years and over,Race Alone or in Combination [1] - American Indian and Alaska Native; Both Sexes; 65 years and over,Race Alone or in Combination [1] - Asian; Both Sexes; 65 years and over,Race Alone or in Combination [1] - Native Hawaiian and Other Pacific Islander; Both Sexes; 65 years and over
cen42010,"April 1, 2010 Census",hisp,Hispanic,0400000US01,01,Alabama,159981,15773,9978,2909,3857,58112,5909,3730,1091,1383,97535,9315,6082,1716,2408,4334,549,166,102,66
cen42010,"April 1, 2010 Census",nhisp,Not Hispanic,0400000US01,01,Alabama,3260312,1272762,52951,65448,4127,700414,360469,12968,18264,1373,2029554,795266,34482,43484,2510,530344,117027,5501,3700,244
cen42010,"April 1, 2010 Census",totpop,Total,0400000US01,01,Alabama,3420293,1288535,62929,68357,7984,758526,366378,16698,19355,2756,2127089,804581,40564,45200,4918,534678,117576,5667,3802,310
est42010,"April 1, 2010 Estimates Base",hisp,Hispanic,0400000US01,01,Alabama,159985,15775,9978,2909,3857,58112,5909,3730,1091,1383,97537,9317,6082,1716,2408,4336,549,166,102,66
est42010,"April 1, 2010 Estimates Base",nhisp,Not Hispanic,0400000US01,01,Alabama,3260522,1272937,52951,65448,4127,700415,360474,12968,18264,1373,2029670,795416,34482,43484,2510,530437,117047,5501,3700,244
est42010,"April 1, 2010 Estimates Base",totpop,Total,0400000US01,01,Alabama,3420507,1288712,62929,68357,7984,758527,366383,16698,19355,2756,2127207,804733,40564,45200,4918,534773,117596,5667,3802,310
est72010,"July 1, 2010 Estimate",hisp,Hispanic,0400000US01,01,Alabama,161178,15843,9888,2883,3819,58880,5922,3692,1077,1362,97876,9356,6035,1706,2393,4422,565,161,100,64
est72010,"July 1, 2010 Estimate",nhisp,Not Hispanic,0400000US01,01,Alabama,3261906,1275293,53168,66083,4125,698890,359235,12926,18440,1376,2030968,798452,34637,43885,2511,532048,117606,5605,3758,238
est72010,"July 1, 2010 Estimate",totpop,Total,0400000US01,01,Alabama,3423084,1291136,63056,68966,7944,757770,365157,16618,19517,2738,2128844,807808,40672,45591,4904,536470,118171,5766,3858,302
