US Poltiical Leaning Percentages,,,,,
Date,Republican,Democrat,Lean Rep,Lean Dem,Swing
2017 Jan 4-8,28,25,16,18,13
2016 Dec 7-11,28,29,13,13,17
2016 Nov 9-13,27,30,16,18,9
2016 Nov 1-6,27,31,16,15,11
2016 Oct 5-9,27,32,13,12,16
2016 Sep 14-18,27,32,17,17,7
2016 Sep 7-11,29,31,15,14,11
2016 Aug 3-7,27,31,14,17,11
2016 Jul 13-17,28,28,15,15,14
2016 Jun 14-23,28,31,14,17,10
2016 Jun 1-5,27,30,14,18,11
2016 May 18-22,27,28,20,18,7
2016 May 4-8,31,30,12,17,10
2016 Apr 6-10,25,31,16,18,10
2016 Mar 2-6,26,32,14,16,12
2016 Feb 3-7,30,30,13,16,11
2016 Jan 21-25,29,31,13,17,10
2016 Jan 6-10,26,29,18,16,11
2015 Dec 2-6,27,30,14,16,13
2015 Nov 4-8,28,30,14,14,14
2015 Oct 7-11,25,29,18,15,13
2015 Sep 9-13,27,27,18,17,11
2015 Aug 5-9,27,31,16,14,12
2015 Jul 8-12,23,28,18,19,12
2015 Jun 2-7,25,31,18,14,12
2015 May 6-10,26,30,16,15,13
2015 Apr 9-12,24,31,14,16,15
2015 Mar 6-9,27,28,17,14,14
2015 Feb 8-11,25,29,18,15,13
2015 Jan 5-8,29,28,15,15,13
2014 Dec 8-11,27,31,14,14,14
2014 Nov 6-9,28,28,19,13,12
2014 Oct 29-Nov 2,26,32,15,14,13
2014 Oct 12-15,33,29,14,12,12
2014 Sep 25-30,26,30,18,18,8
2014 Sep 4-7,25,26,22,16,11
2014 Aug 7-10,26,31,16,15,12
2014 Jul 7-10,23,29,17,13,18
2014 Jun 5-8,24,28,20,16,12
2014 May 8-11,24,31,16,16,13
2014 Apr 24-30,23,32,18,16,11
2014 Apr 3-6,25,29,16,14,16
2014 Mar 6-9,25,30,17,17,11
2014 Feb 6-9,23,30,17,17,13
2014 Jan 5-8,24,29,16,16,15
2013 Dec 5-8,24,30,18,14,14
2013 Nov 7-10,23,28,16,17,16
2013 Oct 3-6,20,30,18,18,14
2013 Sep 5-8,22,31,19,16,12
2013 Aug 7-11,24,31,17,13,15
2013 Jul 10-14,25,31,15,15,14
2013 Jun 20-24,26,31,17,15,11
2013 Jun 1-4,26,31,17,15,11
2013 May 2-7,28,32,13,16,11
2013 Apr 4-14,26,33,14,16,11
2013 Mar 7-10,27,35,14,13,11
2013 Feb 7-10,28,32,14,16,10
2013 Jan 7-10,27,33,13,16,11
2012 Dec 27-30,27,34,12,13,14
2012 Dec 19-22,25,38,11,15,11
2012 Dec 14-17,25,34,16,15,10
2012 Nov 26-29,29,31,15,15,10
2012 Nov 15-18,27,32,12,18,11
2012 Nov 9-12,28,33,12,17,10
2012 Nov 1-4,30,35,12,15,8
2012 Sep 24-27,28,32,15,18,7
2012 Sep 6-9,27,35,15,16,7
2012 Aug 20-22,28,31,18,18,5
2012 Aug 9-12,26,29,15,15,15
2012 Jul 19-22,28,30,19,15,8
2012 Jul 9-12,27,30,14,16,13
2012 Jun 7-10,30,30,12,14,14
2012 May 10-13,27,29,18,17,9
2012 May 3-5,28,32,13,15,12
2012 Apr 9-12,29,29,14,18,10
2012 Mar 8-11,27,30,14,16,13
2012 Feb 16-19,27,29,18,16,10
2012 Feb 2-5,27,29,17,16,11
2012 Jan 5-8,27,30,17,17,9
2011 Dec 15-18,30,27,15,18,10
2011 Nov 28-Dec 1,25,28,18,15,14
2011 Nov 3-6,27,36,14,14,9
2011 Oct 6-9,26,31,19,12,12
2011 Sep 15-18,21,32,19,17,11
2011 Sep 8-11,25,30,23,14,8
2011 Aug 11-14,28,26,19,14,13
2011 Aug 4-7,24,34,20,16,6
2011 Jul 12-15,25,30,17,17,11
2011 Jul 7-10,29,30,18,14,9
2011 Jun 9-12,30,29,17,13,11
2011 May 5-8,29,32,14,14,11
2011 Apr 20-23,31,32,15,14,8
2011 Apr 7-11,26,30,20,13,11
2011 Mar 25-27,25,32,17,14,12
2011 Mar 3-6,29,29,16,14,12
2011 Feb 2-5,28,31,16,18,7
2011 Jan 14-16,28,28,19,15,10
2011 Jan 7-9,29,31,16,13,11
2010 Dec 10-12,33,32,15,12,8
2010 Nov 19-21,29,29,20,13,9
2010 Nov 4-7,26,31,18,16,9
2010 Oct 28-31,29,32,14,12,13
2010 Oct 21-24,29,33,14,12,12
2010 Oct 14-17,30,30,15,13,12
2010 Oct 7-10,30,33,13,11,13
2010 Sep 30-Oct 3,29,30,14,14,13
2010 Sep 23-26,30,32,14,11,13
2010 Sep 13-16,30,28,18,14,10
2010 Aug 27-30,28,30,19,15,8
2010 Aug 5-8,29,30,14,14,13
2010 Jul 27-Aug 1,30,31,14,11,14
