YEAR,SMOG Index,ARI,Gunning Fog Index,LIX,RIX
1962,5.82842712475,1.92583333333,4.2815,21.0888888889,1.0
1963,6.16227766017,6.28443627451,9.3882,24.137254902,0.333333333333
1964,9.7082039325,8.86319277108,10.8916,32.7981927711,2.5
1965,4.77704663328,2.75314777328,3.7128,15.9028340081,0.631578947368
1966,5.86038776774,1.37304545455,5.0,15.9090909091,0.545454545455
1967,7.06201920232,0.221909090909,5.8667,19.1590909091,0.9
1968,7.86664263392,1.75434210526,6.9333,25.0292397661,1.47368421053
1969,6.87298334621,6.94819047619,8.637,28.544973545,1.78571428571
1970,7.62910049886,2.23057142857,6.8571,20.9523809524,1.09523809524
1971,4.29099444874,1.56515151515,3.8424,16.4393939394,0.666666666667
1972,5.51312344975,2.55010311493,5.4531,19.0171858217,0.789473684211
1973,3.0,1.17275,4.8,16.1666666667,0.5
1974,4.03509833901,1.94430516954,3.7556,23.1863535297,1.28571428571
1975,9.48074069841,3.51333333333,9.3503,29.5749469214,2.0
1976,4.58113883008,0.023880952381,2.5714,12.9761904762,0.416666666667
1977,5.07019667803,1.0800952381,4.1926,13.7169312169,0.392857142857
1978,6.0,0.78393258427,4.5483,16.7651685393,0.7
1979,6.16227766017,1.21663545568,4.9483,19.4394506866,0.944444444444
1980,7.70162345982,2.67915581032,6.7723,23.997915581,1.42105263158
1981,7.41588043316,1.56966666667,6.7111,20.1388888889,1.0
1982,5.14834462212,2.21875593542,4.2584,12.2268122824,0.269230769231
1983,4.82574185835,0.41445751634,4.0706,10.6209150327,0.111111111111
1984,10.0938410361,2.98816830295,10.429,16.3464235624,0.58064516129
1985,6.43775825476,0.232575757576,5.2561,15.5661069292,0.575757575758
1986,5.55376959228,2.67270652174,5.5143,20.7453416149,1.04347826087
1987,6.02166093111,2.52448775612,5.4728,22.8420789605,1.30434782609
1988,10.3484692283,7.43382352941,11.0353,33.4705882353,2.8
1989,5.10386061995,0.024339736498,3.1043,10.2522377552,0.262295081967
1990,5.98142397,1.10795698925,5.147,18.935483871,0.888888888889
1991,5.60272809728,0.588593189964,3.6963,21.7825567503,1.03225806452
1992,9.48074069841,5.98786516854,9.4921,29.1247191011,1.8
1993,3.0,1.77796066253,5.2,16.5222567288,0.416666666667
1994,6.25395686728,0.872331932773,4.5429,19.0882352941,0.823529411765
1995,6.585685828,3.12803686636,5.9484,24.6198156682,1.5
1996,4.86052101884,1.83500216076,5.5371,18.4675885912,0.653846153846
1997,6.2403703492,0.851138613861,5.3861,16.0405940594,0.6
1998,5.44948974278,-0.584715025907,3.8363,15.4920207254,0.6
1999,6.06186217848,0.563629032258,5.4753,17.001344086,0.625
2000,5.88675134595,0.980540208717,5.105,13.3704726826,0.333333333333
2001,6.1224989992,0.0497872340426,4.644,14.8514184397,0.55
2002,5.39045721867,-0.12371679198,4.4421,19.5739348371,0.952380952381
2003,5.82842712475,0.0030612244898,4.6884,17.9632653061,0.8
2004,7.33012701892,4.33910305344,7.9267,21.3368320611,0.8125
2005,5.17642875033,3.23063893358,5.324,24.2797058148,1.47368421053
2006,5.40965798671,-0.405316694137,4.0759,12.8533082176,0.354838709677
2007,5.33549683248,0.575794466403,4.6957,15.9617918314,0.575757575758
2008,4.792842914,0.116559674503,4.7797,13.8173598553,0.285714285714
2009,7.09878030638,3.44540069686,6.3512,23.3266898955,1.36
2010,5.15758485668,-0.494639008621,4.225,12.1879789272,0.224137931034
2011,4.73205080757,0.844118942731,4.7524,21.9226872247,1.2
2012,4.76776695297,0.962918428471,4.0228,16.8309108527,0.6875
2013,4.32842232831,1.35653431373,4.2222,19.7549019608,0.970588235294
2014,6.50823207723,2.3811819553,5.3112,20.8196901138,1.07692307692
2015,4.77704663328,0.0468390452876,4.0651,13.7037943696,0.421052631579
2016,6.21130814467,2.03168478261,5.3665,17.2053571429,0.71875
